ARTEMIS_APPLICATION_ID,ARTEMIS_CATEGORY_ID,ARTEMIS_SUB_CATEGORY_ID,ARTEMIS_ID,COINGECKO_ID,ECOSYSTEM_ID,DEFILLAMA_PROTOCOL_ID,VISIBILITY,SYMBOL,ICON,APP_NAME,DESCRIPTION,WEBSITE_URL,GITHUB_URL,X_HANDLE,DISCORD_HANDLE,DEVELOPER_NAME,DEVELOPER_EMAIL,DEVELOPER_X_HANDLE,LAST_UPDATED_BY,LAST_UPDATED_TIMESTAMP
piratopia,gaming,metaverse,,,,,TRUE,,,Piratopia,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
zkasino,gaming,gambling,,,,,TRUE,,,Zkasino,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
relay,bridge,router,,,,,TRUE,,https://res.cloudinary.com/dgdsz4rvi/image/upload/v1740772561/application-icons/32cf2924-c071-4fae-8a32-6e4e288f77fb.png,Relay,Relay is a cross-chain payments system that facilitates bridging and execution between different blockchains. It operates through relayers - financial agents who act on behalf of users across chains for a fee. The platform aims to minimize gas costs and reduce execution latency by performing logic off expensive chains where possible. Relay currently functions through the Reservoir Relayer with plans to expand into a more decentralized protocol allowing additional relayers to participate.,https://www.relay.link/bridge/base,,https://twitter.com/RelayProtocol,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
neptune,defi,amm,,,,,TRUE,,,Neptune,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
melania,token,,,,,,TRUE,,,Melania,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
warm,infrastructure,eoa,,,,,TRUE,,,Warm,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
perpetual_protocol,defi,perpetuals,perpetual-protocol,perpetual-protocol,2585,362.00000,TRUE,perp,https://coin-images.coingecko.com/coins/images/12381/small/60d18e06844a844ad75901a9_mark_only_03.png?1696512205,Perpetual Protocol,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
thorswap,defi,aggregator,,thorswap,,2287.00000,TRUE,thor,https://coin-images.coingecko.com/coins/images/19292/small/THORSwap_Logo-removebg-preview.png?1696518735,Thorswap,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
world_of_dypians,gaming,,,world-of-dypians,,,TRUE,wod,https://coin-images.coingecko.com/coins/images/51024/small/WOD_Logo_200x200.png?1729770777,World of Dypians,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
xen,other,memecoin,,xen-crypto,,,TRUE,xen,https://coin-images.coingecko.com/coins/images/27713/small/Xen.jpeg?1696526739,Xen,,,,,,,,,horace@artemisanalytics.xyz,2025-03-28 19:02:47.170
airswap,defi,amm,,airswap,,,TRUE,ast,https://coin-images.coingecko.com/coins/images/1019/small/Airswap.png?1696502130,Airswap,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
genopets,gaming,metaverse,,genopets,,,TRUE,gene,https://coin-images.coingecko.com/coins/images/20360/small/gene-token.png?1696519768,Genopets,"Genopets is a blockchain-based move-to-earn game that blends digital pet gameplay with real-world physical activity. In Genopets, your unique NFT pets grow and evolve as you engage in real-life movement, earning you in-game rewards and cryptocurrency.",https://www.genopets.me/,,https://x.com/genopets,https://discord.gg/genopets,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
aicore,other,,,,,,TRUE,,,Ai Core,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
hanep,nft_app,nft_fi,,,,,TRUE,,,HAN e-Platform,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
galxe,nft_app,collectible,,,,,TRUE,,,Galxe,"GalxeOAT is a platform that enables the creation and distribution of On-Chain Achievements Tokens (OATs), which are non-transferable tokens awarded to users for completing specific tasks or milestones within a project or community.",https://www.galxe.com/,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
$uwon,token,,,uwon,,,TRUE,uwon,https://coin-images.coingecko.com/coins/images/35593/small/2024-02-29_10.53.39.jpg?1709221802,$UWON,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
layerzero,bridge,messaging_protocol,,,,,TRUE,,,Layerzero,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
dcm,payments,,,,,,TRUE,,,DCM,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
bridgers,bridge,cross_chain_bridge,,,,,TRUE,,https://strapi-dev.scand.app/uploads/Bridgers_Logo_a55626f98b.png,bridgers,,https://www.bridgers.xyz/#/,,https://x.com/bridgersxyz?lang=en,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
metawin,gaming,metaverse,,,,,TRUE,,,Metawin,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
talentum,defi,synthetics,,,,,TRUE,,https://strapi-dev.scand.app/uploads/Talentum_logo_294b96f5ee.jpg,Talentum,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
puff_the_dragon,,,,,,,TRUE,,,Puff The Dragon,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
talis,nft_app,nft_marketplace,,,,,TRUE,,,Talis,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
helium,depin,physical_resource_network,helium,helium,,,TRUE,hnt,https://coin-images.coingecko.com/coins/images/4284/small/Helium_HNT.png?1696504894,Helium,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
pudgy_penguins,nft_app,collectible,,pudgy-penguins,,,TRUE,pengu,https://coin-images.coingecko.com/coins/images/52622/small/PUDGY_PENGUINS_PENGU_PFP.png?1733809110,Pudgy Penguins,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
worldcoin,other,governance_incentives,,worldcoin-wld,,,TRUE,wld,https://coin-images.coingecko.com/coins/images/31069/small/worldcoin.jpeg?1696529903,Worldcoin,"Worldcoin is a digital identity and financial network that uses biometric verification through eye scanning technology (Orbs) to establish unique human identities on the blockchain. It aims to create a globally accessible identity system while distributing its cryptocurrency token to verified humans, balancing privacy protection with proof of personhood in an increasingly AI-driven world.",https://world.org/,,https://x.com/worldcoin,https://world.org/discord,Tools for Humanity,,https://x.com/tfh_technology,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
coq_inu,other,memecoin,,coq-inu,,,TRUE,coq,https://coin-images.coingecko.com/coins/images/33511/small/Coin_CoqInu_1200px.png?1702041053,Coq Inu,Meme-social coin,https://coqinu.com/,,https://twitter.com/CoqInuAvax,https://discord.gg/Ta8Tzw3ckt,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
tokenlon,defi,amm,,tokenlon,,405.00000,TRUE,lon,https://coin-images.coingecko.com/coins/images/13454/small/lon_logo.png?1696513217,Tokenlon,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
arcadia_finance,defi,collateralized_lending,,,,,TRUE,,,Arcadia Finance,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
sanctum,staking,liquid_staking,,,,,TRUE,,,Sanctum,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
drip_faucet,,,,,,,TRUE,,,Drip Faucet,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
unibot,other,ai_agent,,unibot,,,TRUE,unibot,https://coin-images.coingecko.com/coins/images/30462/small/logonoline_%281%29.png?1696529349,Unibot,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
yield_yak,asset_management,yield_aggregator,,yield-yak,,475.00000,TRUE,yak,https://coin-images.coingecko.com/coins/images/17654/small/yieldyak.png?1696517185,Yield Yak,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
wormhole,bridge,cross_chain_bridge,wormhole,,,,TRUE,w,https://res.cloudinary.com/dgdsz4rvi/image/upload/v1740429226/application-icons/d50e62e8-48e1-459f-b2bb-2602e70f1dda.png,Wormhole,Wormhole is a cross-chain interoperability protocol that enables seamless transfer of assets and information between multiple blockchains. It serves as a bridge that allows users to move tokens and NFTs across different blockchain networks without the need for centralized exchanges.,https://wormhole.com/,https://github.com/wormhole-foundation/wormhole,https://twitter.com/wormhole,https://discord.gg/wormholecrypto,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
0xsquid,bridge,router,,,,,TRUE,,,0xsquid,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
parcl,defi,amm,,,,,TRUE,,https://res.cloudinary.com/dgdsz4rvi/image/upload/v1740429716/application-icons/3f88726a-a72e-4b9f-be2c-41e6ed18fec6.png,Parcl,"Solana Defi Protocol that allows users to invest in real estate faster, simpler, and smarter.",,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
ston.fi,defi,amm,,,,,TRUE,,,STON.fi,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
kraken,cefi,cex,,,,,TRUE,,,Kraken,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
ethena,stablecoin,algorithmic_stablecoin,,,,,TRUE,,https://res.cloudinary.com/dgdsz4rvi/image/upload/v1740429622/application-icons/429e4597-939c-47ee-bd19-684ee7742f92.png,Ethena,"Ethena's synthetic dollar, USDe, provides the crypto-native, scalable solution for money achieved by delta-hedging Bitcoin, Ethereum and Solana spot assets using perpetual and deliverable futures contracts, as well as holding liquid stables such as USDC and USDT. ",,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
tridentplatform,defi,perpetuals,,tridentdao,,2618.00000,TRUE,psi,https://coin-images.coingecko.com/coins/images/28955/small/trident.jpg?1696527928,Tridentplatform,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
solbook,,,,solbook,,,TRUE,book,https://coin-images.coingecko.com/coins/images/36585/small/200x200.png?1711946997,SolBook,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
yei_finance,defi,collateralized_lending,,,,,TRUE,,,Yei Finance,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
origin,defi,synthetics,,,,,TRUE,,,Origin,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
tofu_nft,nft_app,nft_marketplace,,,,,TRUE,,,Tofu Nft,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
near_ordinals,,,,,,,TRUE,,,Near Ordinal,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
meow_kingdom,gaming,metaverse,,,,,TRUE,,,Meow Kingdom,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
rarible,nft_app,nft_marketplace,,rarible,,2504.00000,TRUE,rari,https://coin-images.coingecko.com/coins/images/11845/small/rf_logo_%281%29.jpeg?1711076091,Rarible,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
altered_state_machine,gaming,metaverse,,altered-state-token,,,TRUE,asto,https://coin-images.coingecko.com/coins/images/24893/small/ASTO-Token.png?1732899741,Altered State Machine,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
via_labs,infrastructure,data_availability,,,,,TRUE,,,Via Labs,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
flaunch,infrastructure,,,,,,TRUE,,,Flaunch,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
spincity,gaming,gambling,,,,,TRUE,,,SpinCity,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
ambient,,,,,,,TRUE,,,Ambient Finance,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
payn,payments,,,paynet-coin,,,TRUE,payn,https://coin-images.coingecko.com/coins/images/15712/small/PAYNET-LOGO.jpg?1696515339,Paynet coin,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
eclipse,blockchain,l2,,,,,TRUE,,,Eclipse,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
magma,defi,amm,,,,,TRUE,,,Magma,,https://magmafinance.io/,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
candy_machine,nft_app,nft_launchpad,,,,,TRUE,,,Candy Machine,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
magnum,,,,magnum-2,,,TRUE,mag,https://coin-images.coingecko.com/coins/images/33531/small/20231213_112204.jpg?1702499402,Magnum,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
gnosis,infrastructure,smart_contract_wallet,,safe-token,,2520.00000,TRUE,safe,https://res.cloudinary.com/dgdsz4rvi/image/upload/v1740428520/application-icons/gnosis_c4hzhi.jpg,Gnosis,"Gnosis is a blockchain project that began with a focus on decentralized prediction markets but has since evolved into a broader ecosystem of decentralized applications. Overall, Gnosis combines innovative decentralized finance tools with a strong focus on security and community governance, making it a notable project in the crypto space.",https://www.gnosis.io/,https://github.com/gnosis,https://x.com/gnosisdao,https://discord.gg/gnosis,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
ribbon,defi,options_vault,,,,,TRUE,,,Ribbon,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
bw,,,,,,,TRUE,,,Bw,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
bluefin,defi,perpetuals,bluefin,,,,TRUE,blue,https://strapi-dev.scand.app/uploads/Bluefin_logo_new_8d0ad019a8.jpg,BlueFin,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
rodeo_finance,asset_management,leveraged_farming,,,,,TRUE,,,Rodeo Finance,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
kiloex,defi,perpetuals,,,,,TRUE,,,KiloEx,"KiloEx is a decentralized perpetual exchange operating across multiple blockchains, including BNB Chain, opBNB, Base, and Manta, offering users the ability to trade cryptocurrencies, forex, indices, and commodities with up to 100x leverage . Utilizing a peer-to-pool model, it features innovative tools like Hybrid Vaults for liquidity provision and One-Click Trading for streamlined user experience, all governed by its native $KILO token.",,,,,,,,seb@artemisanalytics.xyz,2025-05-06 16:02:55.489
solstream,other,social_media,,solstream,,,TRUE,stream,https://coin-images.coingecko.com/coins/images/36325/small/200.png?1711097245,Solstream,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
rivalz_network,other,ai_agent,,riz,,,TRUE,riz,https://res.cloudinary.com/dgdsz4rvi/image/upload/v1740771999/application-icons/9bd49d41-436e-4e8a-842e-7a5888b6cf0b.png,Rivalz Network,"Rivalz Network is building the World Abstraction Layer, an infrastructure platform that simplifies connections between AI agents and real-world resources across both digital and physical domains. It consists of five integrated modules: ROME (a tokenized swarm protocol for agent orchestration), OCY DePIN (a decentralized data layer), ADCS (an AI oracle connecting decentralized applications with AI capabilities), NOSTRINGS (an identity and resource mapping system), and VORD (an application platform for creating AI-enhanced apps with monetization features).",https://rivalz.ai/,,https://x.com/rivalz_ai,https://discord.com/invite/rivalzai,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
lifi,bridge,router,,,,,TRUE,,https://res.cloudinary.com/dgdsz4rvi/image/upload/v1740772835/application-icons/1d625f9b-1c9c-4bce-b0eb-69cdf0a1a69e.png,Lifi,"LI.FI is a multi-chain liquidity aggregator that combines DEX aggregators, solvers, and cross-chain bridges into a single order routing system. It integrates decentralized exchanges that use on-chain price functions, solvers that leverage complex liquidity sources like lending protocols, and bridges that enable cross-chain transfers through single-asset liquidity pools. This comprehensive approach eliminates the need for users to independently research, integrate, and maintain multiple trading systems.",https://li.fi/,https://github.com/lifinance/,https://x.com/lifiprotocol,https://discord.gg/jumperexchange,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
base_colors,nft_app,collectible,,,,,TRUE,,https://res.cloudinary.com/dgdsz4rvi/image/upload/v1743135935/application-icons/ifjos0uyjuopqkuglke2.jpg,Base Colors,The NFT collection for every color on the internet.,https://www.basecolors.com/,,https://x.com/base_colors,,Jake,,https://x.com/0FJAKE,terminal@artemisanalytics.xyz,2025-03-28 19:02:47.170
eggs,token,,,,,,TRUE,,https://res.cloudinary.com/dgdsz4rvi/image/upload/v1743209191/application-icons/kbxom3khdaziiyhj0sny.png,Eggs,$EGGS is a memecoin and game hatched on Farcaster and Base,https://eggs.name/,,https://x.com/eggsdotf,,,,,terminal@artemisanalytics.xyz,2025-03-30 19:02:26.716
moonshot,other,memecoin,,,,,TRUE,,,Moonshot,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
liquidity_provider,defi,collateralized_lending,,,,,TRUE,,,Liquidity Provider,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
opex,token,,,,,,TRUE,,,Opex,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
goplus_security,infrastructure,privacy,,,,,TRUE,,,GoPlus Security,,https://gopluslabs.io/,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
kucoin,cefi,cex,,kucoin-shares,,,TRUE,kcs,https://coin-images.coingecko.com/coins/images/1047/small/sa9z79.png?1696502152,Kucoin,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
marinade,staking,liquid_staking,,marinade,,,TRUE,mnde,https://coin-images.coingecko.com/coins/images/18867/small/MNDE.png?1696518327,Marinade,Self-custodial automation tool for Solana staking that helps SOL holders find the best staking rate on Solana. No smart contract. 100% uptime protection.,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
zeroex,defi,aggregator,,0x,,,TRUE,zrx,https://coin-images.coingecko.com/coins/images/863/small/0x.png?1696501996,Zeroex,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
win,oracle,,,wink,,,TRUE,win,https://coin-images.coingecko.com/coins/images/9129/small/WinK.png?1696509252,WINkLink,,https://winklink.org/#/home,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
solchat,other,social,,solchat,,,TRUE,chat,https://coin-images.coingecko.com/coins/images/35197/small/CHAT1.png?1709812468,Solchat,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
pheasant_network,bridge,cross_chain_bridge,,,,,TRUE,,https://res.cloudinary.com/dgdsz4rvi/image/upload/v1746036045/application-icons/m62PN6GP_400x400_vai1oy.jpg,Pheasant Network,"Pheasant Network is an intent-centric interoperability protocol that facilitates seamless asset transfers across over 30 blockchain networks, including Ethereum, Layer 2, and Layer 3 ecosystems. By leveraging an optimistic rollup-inspired architecture, it offers a Bridge-as-a-Service (BaaS) solution that enables developers to integrate native bridge and swap functionalities into their applications. This approach enhances scalability, reduces gas fees, and accelerates cross-chain transactions, thereby streamlining interoperability within the decentralized ecosystem.",https://pheasant.network/,,,,,,,terminal@artemisanalytics.xyz,2025-04-29 11:31:28.567
mineral,,,,,,,TRUE,,https://strapi-dev.scand.app/uploads/Mineral_Logo_d99c90a5b4.jpg,Mineral,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
takara_lend,defi,collateralized_lending,,,,,TRUE,,https://res.cloudinary.com/dgdsz4rvi/image/upload/v1746035393/application-icons/VEHP6fDw_400x400_mkneuy.jpg,Takara Lend,"Takara Lend is a decentralized finance (DeFi) platform built on the Sei Network, offering users the ability to lend and borrow digital assets. By depositing funds into lending pools, users can earn interest, while borrowers can obtain loans by providing collateral. The platform introduces an innovative feature called Synthetic Prepayment™, enabling lenders to offer borrowers discounts of up to 15% when paying off low-interest mortgages early, thereby enhancing liquidity and promoting new mortgage originations.",https://app.takaralend.com/,,,,,,,terminal@artemisanalytics.xyz,2025-04-29 11:31:28.565
ovm,blockchain,l2,,,,,TRUE,,,Ovm,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
lighthouse,infrastructure,smart_contract_wallet,,,,,TRUE,,,Lighthouse,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
connext,bridge,cross_chain_bridge,,,,,TRUE,,,Connext,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
daomaker,other,creator,,,,,TRUE,,,Daomaker,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
vnx,stablecoin,,,,,,TRUE,,,VNX,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
swell,staking,liquid_restaking,,,,,TRUE,,,Swell,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
nfts2me,nft_app,nft_launchpad,,,,,TRUE,,https://res.cloudinary.com/dgdsz4rvi/image/upload/v1746037118/application-icons/NoRNmw9L_400x400_ygglja.png,NFTs2Me,"NFTs2Me is a comprehensive no-code platform designed to empower creators in launching, minting, and managing NFT collections seamlessly. It offers tools for designing various types of NFT collections, including editions, drops, and generative art, with assets and metadata stored immutably on IPFS. The platform facilitates the deployment of audited ERC-721 smart contracts with low gas usage and provides customizable minting pages that can be hosted or embedded into external websites. Additional features include multi-phase sales, airdrops, whitelists, token gating, enforced royalties, and support for payments in both native cryptocurrencies and ERC-20 tokens. NFTs2Me supports multiple blockchain networks, enhancing flexibility for creators.",https://nfts2me.com/,,,,,,,terminal@artemisanalytics.xyz,2025-04-29 11:31:28.573
alien_worlds,gaming,metaverse,,,,,TRUE,,,Alien Worlds,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
memepet,gaming,,,,,,TRUE,,,Memepet,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
bankr,other,ai_agent,,BNKR,,,TRUE,,https://res.cloudinary.com/dgdsz4rvi/image/upload/v1743183481/application-icons/ae5bihlv6ckamcj58bni.jpg,Bankr,"Your friendly AI-powered crypto companion. Buy, sell, swap, place limit orders, and manage your wallet effortlessly—just by sending a message. 
Bankr simplifies cryptocurrency trading and wallet management. Instead of navigating through dozens of apps, users can connect their wallets and execute actions using simple chat commands.",https://bankr.bot/,,https://x.com/bankrbot,,0xDeployer,,https://x.com/0xDeployer,terminal@artemisanalytics.xyz,2025-03-28 19:02:47.170
maestro,other,aggregator,,,,,TRUE,,,Maestro,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
dragonslither,gaming,metaverse,,,,,TRUE,,,Dragonslither,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
majyo_treasure,gaming,metaverse,,,,,TRUE,,,Majyo Treasure,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
bitmex,cefi,centralized_derivative,,,,,TRUE,,,bitMEX,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
mintle,nft_app,nft_launchpad,,,,,TRUE,,,Mintle,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
wallstreetpepe,asset_management,,,wall-street-pepe,,,TRUE,wepe,https://coin-images.coingecko.com/coins/images/54457/small/Wepe_Logo_200x200.png?1739795587,Wall Street Pepe,"Wall Street Pepe (WEPE) is a meme-based cryptocurrency launched on December 24, 2024. The project aims to build a community-driven token inspired by the popular ""Pepe the Frog"" meme, targeting enthusiasts interested in meme coins and decentralized finance.",https://wallstreetpepe.com/,,https://x.com/wepetoken,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
clique,depin,digital_resource_network,,,,,TRUE,,https://res.cloudinary.com/dgdsz4rvi/image/upload/v1740771723/application-icons/0ba1035a-1a2f-4b6b-ae46-bb7e5966e098.png,Clique,"Clique is a Trusted Execution Environment (TEE) Network that functions as an off-chain computing solution for blockchain applications, offering confidentiality and verifiability while maintaining cost-effectiveness. It supports custom bytecode execution across multiple virtual machines, enables secure integration between on-chain and off-chain data through attestations, and provides infrastructure for applications ranging from TLS oracles and loyalty programs to order books and verifiable AI outputs, all protected by advanced security practices including on-chain TEE attestation.",https://www.clique.tech/,,https://twitter.com/Clique2046,https://discord.com/invite/cliquewithme,"2046 Labs, Inc",,https://twitter.com/Clique2046,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
mrkt,nft_app,nft_marketplace,,,,,TRUE,,,MRKT,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
holdem_core,,,,,,,TRUE,,,Holdem Core,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
jaredfromsubway,,,,,,,TRUE,,,Jared From Subway,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
stasis,stablecoin,,,,,,TRUE,,,Stasis,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
drift_zone,gaming,sports,,,,,TRUE,,,Drift Zone,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
recrd,other,social,,,,,TRUE,,https://strapi-dev.scand.app/uploads/RECRD_Logo_900890c970.jpg,Recrd,,,,,,,,,terminal@artemisanalytics.xyz,2025-03-20 11:31:28.563
